7C36BC98	2005
7E715D96	2005
7FEF82E0	1972
7ECCB86D	2003
7FBE9111	2000
819E0F1C	1977
7656889F	2002
776FC4FF	1980
7DDBEEEA	2008
7F10AB38	1983
800BF795	1990
8422FA39	1998
7747B752	1974
7B9D467A	2005
7CF32336	2003
7B963C19	1998
80C84851	2008
7F75F6F6	1994
7FFB345F	1968
7DB8E559	1995
7EE41613	2007
7DE9F072	2007
75D62805	1999
75C3453C	1998
6428C27D	1995
7F408613	1998
80A76618	1995
75E0C9C9	1990
8134210E	2004
7F4D91E8	2011
7DF1CFC5	1992
8180985B	1986
805AE273	1990
75208D1E	2007
8103A83A	1975
7CEE5BF3	1987
7AF6507C	1992
805775E1	2006
7C109578	1999
7E778ADE	2005
808843AE	1996
7B26408C	1977
81330B9F	2006
80D5027D	2006
80E14139	2005
85DE1471	1979
7EB88FB1	2009
76FB0669	2010
7F8D268F	2004
7E7784CA	2007
760B4D35	1990
8008290D	2002
80F62409	2001
77CB9F80	1993
7C6FAA73	2011
7EF801CD	1991
8119AA53	2002
7C473058	2008
7FBCBD69	1986
80DEAE60	1995
7D41947D	2007
7A3B08AD	2001
80EE2E73	2000
6C9E66DE	1996
7C0309F9	1995
7D9FDD83	2005
7AE715A9	2000
80B4E9B9	1993
7A16BBA0	1978
80DC835F	1998
7F4A635E	2006
756FC5DF	2004
805CD994	2004
8102A449	2004
80CDC13D	1993
7D179D7C	2007
7FD4CA46	2003
814A5F14	2005
7BB49CF5	1984
7D4E1CB9	2007
8162D128	2003
80B17149	2003
7FF14BB5	1968
773AB112	2010
79A5011D	2000
6178B4C5	1972
80E19349	2010
786C0F3D	1994
786047E7	1998
8529B731	1995
5AD5A0AA	1998
7C0C7065	2001
7C8CACD1	1973
7B3C8F37	2002
7EC9664C	2003
74A010A3	1999
7C504F77	1998
7F1E58E4	2010
7DD8D58D	2007
7B28E2D0	2002
5D49BE56	2001
80A535BD	2002
7B55F6B1	2001
77545964	2002
80898701	1991
7E151089	1997
588463FC	2002
7D12D92A	2001
7D8F3755	2007
5D61388A	1995
7DFB378C	2005
80B31354	2003
7939A4C6	2002
7DD5CF0B	1994
599891A2	1993
7E0845DB	2001
7BFB4015	1987
7D6A6864	2003
7B8B48B4	1998
7FFF28A4	2003
766C3DCB	2002
7E13B6A8	2002
800AE64C	2002
7AE35EF0	1990
7E9D7C80	2001
7D69CE9A	2001
5D55B62A	2006
00BF3764	2004
7D5E4BD8	2008
7A75FF81	2009
79DC8285	2007
7DD6B812	1985
81FC6200	1973
77F68BC6	1980
7E263A96	2007
7BF72FD1	1999
808038DD	2008
5D5901B5	1997
79C5203D	2004
77980D6E	1988
097FE30C	1968
7E246B61	2001
80A853E8	2002
7C43FBFE	1999
62857AC1	1996
7F4EB60E	2001
7C06EC62	2007
7EEF0BC7	2004
5AB0CCEC	2003
7D978831	2004
80A779A3	2007
5B2FD7CE	1998
7D107DC1	2007
7D4D0C04	1990
773A313C	1987
81185D22	1986
7D9CBE90	1999
7E6B094E	1995
7F4DDABD	2000
812A7A06	1998
7CDBA7E0	2003
80FCD18B	2001
00CE4F82	1985
7679662F	1985
7E441FB7	2004
7C40CD5F	1997
762D46A4	2005
7D74CD14	1989
7DF94264	1994
7D34E5AC	2011
768536E7	2001
7DF9E9E9	2001
80F956AC	2007
5F38DBBC	1996
7E836600	1984
7DAE41E3	2003
76C8191E	2003
7E463C7C	1996
7DD34A58	2001
06F7CB19	1994
76D90529	1992
77355779	2006
8060F165	2008
803E9E58	2010
75241E97	2006
752D2EB6	2004
806E29E9	1994
7CF2F2B2	2008
5C0297B4	1988
80731A3F	2000
7D617148	1989
7F528369	2007
7AADA534	1993
8162E4AF	2006
7D50B242	1994
7FAD1033	1996
7ED92371	2010
7B54C5A8	2003
7FF7DBCB	1991
75B2FB7E	1998
7FEBE08F	2001
0B2AD8DD	1996
032646A5	1981
7DD2B972	1997
7F204042	2005
7DB61166	1977
8048EF1C	2005
775E80F6	2003
7D64ABE1	2003
807CA051	1999
7E33030C	1990
7A4C81F5	2001
81FF68C5	1997
7CF4FDDD	1996
7C0FD803	2005
81C821FC	2004
79CE2F60	1981
7F3912C0	2002
75DA762C	2001
7AC91C77	1987
7980AE89	2003
7FC05013	2005
840B082B	1987
80A13A1D	2001
5FE0234D	2004
818D5AC6	1998
7B14046D	1998
7F2A6B73	2003
80FE4D16	2006
75942FD9	2000
5BFE3BEE	2000
7553E1A7	1985
75EE3AAB	2001
7EAEB390	2009
7D319B58	1962
7957939A	1998
80CEB55A	2005
80D3FC12	1964
77051FAE	1996
7D794C10	2013
7E2A016B	2003
7F326C8F	2004
5A00C2CD	1999
6A886314	1997
7D082E86	1988
76D7F9A5	2000
6E40A1A0	1996
7F79A164	2009
5C2CD755	1990
7D5BD5C6	2000
7FE3A63E	2009
68B81B1F	2000
800052BF	1988
7E5E772E	1991
7CECA111	2002
7F22CE30	2006
7FC2959C	2002
80860C39	2002
813C4085	2004
7CF86B2F	2000
7EE78F03	1988
7CDC1957	1998
7A4CC4CF	1982
7D71FB47	2004
7ECE92F8	1990
7CE99825	1954
80B63C3F	2009
7F45E676	1989
7EB787AE	2005
806F6C2A	2002
7DEAE1B7	2001
76EAD42F	2000
8123011C	2007
066B9CF7	1996
819885EB	1995
7F1D18C1	2007
781FA0C6	2005
7C2F56D6	2002
5F26DD58	2002
78DC4E90	2009
7F99DE96	2006
81739971	2008
77D511C6	1988
7E20A209	1995
60ADF307	1993
7DA1A4C1	1977
7765233D	1992
7F74C317	2005
7887CE86	2007
802D93DB	1985
7A531E76	1993
7E34568E	2002
7D568AF1	2003
81C288C2	1986
806C9B4F	2001
79BF7953	1999
85DB1CED	1999
591667CC	2003
79246F9B	1999
783E20F6	1997
860D1C15	2002
7E00A072	2003
702E63CB	1999
7F3AD97E	2009
7F0700E3	1995
752409BE	2007
81438780	2000
7EA23ACD	2004
7CEE121E	2004
74455F68	1998
80E8E6AE	2003
7E93B1B1	2003
7F554D80	1997
811701D0	2003
5D552E33	2000
7E8090D0	2002
7E1045AE	2003
7E0E59FE	2001
7EBBA287	2006
79E35CD5	1993
5F38683E	1992
85DEFA8E	1998
5EC99698	2005
7ECB95BB	2007
7D0A4058	2009
790593FA	2004
7B389FB3	2003
63555F7D	2004
7BE46AB6	2001
7CC73FDD	1988
7EB3CE9A	1995
7717BC28	1996
6AC7714D	2007
768C9F79	1997
7B777227	1997
7E81A8E0	2003
5F73F8EC	1995
78118BFA	1994
7E208230	2002
811BEDEA	2006
80723C55	2008
7B5F736A	1993
7EBF950A	1995
7E9E7263	1999
7E083C32	2004
78B509F0	1946
7D4B38C3	2000
03763D12	1996
8064F406	2006
5A049EC6	2003
